pressure,wall-shear,x-wall-shear,y-wall-shear,z-wall-shear,train_num,round
0.27609536,0.35805133,0.5343576,0.5554572,0.4479369,200,1
0.25411236,0.30018273,0.46018887,0.47919858,0.38846815,400,1
0.21794967,0.27039015,0.39010158,0.3966594,0.34344533,600,2
0.1933586,0.23667935,0.3358882,0.3481532,0.29614666,800,3
0.1891576,0.21830243,0.30839851,0.31586248,0.2803479,1000,4

