pressure,wall-shear,x-wall-shear,y-wall-shear,z-wall-shear,train_num,round
0.34281105,0.45204094,0.6758349,0.68048877,0.5865791,50,1
0.4248574,0.291232,0.39347923,0.4347123,0.35165742,550,2
0.5013914,0.47419512,0.63671607,0.64891165,0.5488268,1050,3
0.23011686,0.16855878,0.22934502,0.23931246,0.21111667,1550,4
0.14870703,0.13661616,0.19786298,0.19583815,0.17269497,2050,5
0.28434646,0.39337674,0.6213406,0.6242611,0.49867666,2550,6
