pressure,wall-shear,x-wall-shear,y-wall-shear,z-wall-shear,train_num,round
0.22044823,0.28132904,0.40381387,0.402021,0.3503937,500,1
0.16031018,0.18593317,0.27174017,0.2721348,0.23942517,1000,2
0.11486227,0.15351471,0.22021925,0.21768442,0.19763967,1500,3
0.08954777,0.1227252,0.18088827,0.18043816,0.15685448,2000,4
0.072722964,0.110651426,0.16451824,0.16804703,0.14775142,2500,5
